,GAMEID,SubjectID,P_Culprit,P_Cul_Conf,P_Target,P_Target_Conf,P_Day,P_Day_Conf,Culprit,Cul_Conf,Target,Target_Conf,Day,Day_Conf,Culprit_Change,Target_Change,Day_Change
0,201004,1,3,4,4,4,2,3,3,4,4,4,2,4,0,0,0
1,201004,2,1,2,1,2,2,2,3,5,4,5,2,5,1,1,0
2,201004,3,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1
3,201004,4,2,2,1,2,2,2,3,3,1,3,2,4,1,0,0
4,201004,5,3,3,4,3,2,3,3,4,4,4,2,4,0,0,0
5,201017,1,1,0,4,0,1,0,3,5,3,5,2,5,1,1,1
6,201017,2,3,2,4,2,2,5,3,5,4,5,2,5,0,0,0
7,201017,3,1,3,5,4,2,5,3,5,4,4,2,5,1,1,0
8,201017,4,3,2,5,2,2,2,1,1,4,1,2,1,1,1,0
9,201017,5,5,4,4,4,2,4,3,4,4,4,2,4,1,0,0
10,201024,1,0,0,0,0,1,0,5,4,5,4,1,5,1,1,0
11,201024,2,2,2,5,2,4,1,3,3,5,4,4,2,1,0,0
12,201024,3,5,0,0,0,0,0,2,1,2,1,1,1,1,1,1
13,201024,4,0,0,0,0,5,0,4,3,1,2,4,3,1,1,1
14,201024,5,0,0,0,0,0,0,3,1,4,1,1,2,1,1,1
15,201041,1,3,1,1,1,2,2,3,4,5,4,2,4,0,1,0
16,201041,2,3,4,1,4,1,4,3,5,5,5,2,5,0,1,1
17,201041,3,2,2,2,1,2,4,3,4,5,4,2,4,1,1,0
18,201041,4,3,1,5,4,1,4,3,5,5,5,2,5,0,0,1
19,201041,5,2,4,5,4,2,5,3,4,5,4,2,4,1,0,0
20,201049,1,2,3,4,3,1,3,3,4,4,4,1,4,1,0,0
21,201049,2,2,1,5,1,4,1,3,4,4,4,1,4,1,1,1
22,201049,3,2,1,4,1,5,1,3,4,4,4,1,4,1,0,1
23,201049,4,1,2,1,2,1,3,5,2,1,4,5,4,1,0,1
24,201049,5,3,1,1,2,2,2,3,2,4,3,2,2,0,1,0
25,201055,1,3,1,3,1,2,1,3,4,5,4,2,4,0,1,0
26,201055,2,2,1,3,1,5,2,2,2,2,1,5,4,0,1,0
27,201055,3,2,1,4,1,1,1,3,2,5,2,2,3,1,1,1
28,201055,4,4,1,5,3,2,4,3,3,5,4,2,4,1,0,0
29,201055,5,3,5,5,5,5,5,3,5,5,5,1,5,0,0,1
30,201061,1,3,1,1,1,2,1,3,4,2,4,2,4,0,1,0
31,201061,2,1,4,2,4,1,4,3,4,2,4,1,4,1,0,0
32,201061,3,1,3,4,4,2,4,3,5,2,4,1,3,1,1,1
33,201061,4,3,5,2,5,2,2,3,5,2,5,2,4,0,0,0
34,201061,5,0,0,0,0,1,0,1,4,2,4,1,4,1,1,0
35,201082,1,1,4,2,4,2,4,1,4,2,4,2,4,0,0,0
36,201082,2,5,3,3,2,3,2,3,4,2,4,2,4,1,1,1
37,201082,3,4,3,1,4,1,5,3,5,5,5,2,5,1,1,1
38,201082,4,1,4,2,4,2,4,3,4,2,4,2,4,1,0,0
39,201082,5,2,5,5,5,2,2,2,4,2,3,2,2,0,1,0
40,201085,1,4,1,2,1,4,1,2,1,3,1,2,1,1,1,1
41,201085,2,3,2,4,2,2,2,3,1,4,1,2,1,0,0,0
42,201085,3,5,4,4,3,1,5,3,4,5,4,1,4,1,1,0
43,201085,4,1,2,5,2,4,1,3,2,5,2,4,1,1,0,0
44,201085,5,1,1,1,1,5,1,1,1,1,1,5,1,0,0,0
45,201102,1,4,2,5,4,2,4,3,4,5,4,2,5,1,0,0
46,201102,2,0,0,0,0,0,0,3,1,3,1,2,1,1,1,1
47,201102,3,2,1,1,1,2,1,3,2,1,1,2,2,1,0,0
48,201102,4,3,4,1,2,5,4,3,4,3,1,2,1,0,1,1
49,201102,5,3,1,1,1,5,1,3,4,3,4,2,4,0,1,1
50,201110,1,4,2,2,3,2,4,3,4,2,2,2,4,1,0,0
51,201110,2,4,1,5,0,2,2,4,3,4,2,2,2,0,1,0
52,201110,3,4,0,4,0,1,0,4,4,4,2,1,5,0,0,0
53,201110,4,3,4,2,4,1,4,3,4,4,4,1,4,0,1,0
54,201110,5,3,2,4,4,2,4,3,4,4,4,2,5,0,0,0
55,201147,1,2,2,2,4,2,2,5,2,1,2,2,2,1,1,0
56,201147,2,3,3,4,3,1,3,4,3,4,4,2,4,1,0,1
57,201147,3,3,4,4,4,5,4,3,4,4,4,2,4,0,0,1
58,201147,4,0,2,3,0,1,0,2,4,2,2,2,4,1,1,1
59,201147,5,5,3,4,2,1,1,4,4,4,4,2,3,1,0,1
60,201161,1,4,1,4,1,2,1,4,1,4,2,2,2,0,0,0
61,201161,2,3,3,4,1,4,2,3,4,1,2,5,4,0,1,1
62,201161,3,2,3,1,4,2,4,3,5,4,5,2,5,1,1,0
63,201161,4,5,1,5,3,1,3,5,3,4,4,1,5,0,1,0
64,201161,5,1,1,5,4,2,4,3,1,5,2,2,2,1,0,0
65,201183,1,5,4,4,4,5,4,3,4,2,4,1,4,1,1,1
66,201183,2,2,1,2,1,3,1,3,5,2,2,1,4,1,0,1
67,201183,3,3,4,2,2,1,2,3,4,2,4,1,4,0,0,0
68,201183,4,3,3,5,4,4,3,3,4,2,5,1,4,0,1,1
69,201183,5,1,4,1,4,3,2,3,4,5,4,3,4,1,1,0
